"symbol","article_date","article_title","action","price_info","reason_summary"
"英伟达 NVIDIA","2025-03-07","何日君再来~","加仓节点","100.39 美元","4 月暴跌后继续分档加仓维持大仓位和负成本"
"英伟达 NVIDIA","2025-04-04","大暴跌？就这？？~","预设加仓","93 美元","更深一档未触发的预埋补仓价等极端下跌"
"英伟达 NVIDIA","2025-08-28","狂飙的印钞机~","分批减仓","170 / 175 / 180 / 185 美元","170–200 区间分四档减仓合计约 20% 落袋部分浮盈"
"AMD","2025-02-07","压力还要持续十几年~","防守加仓","105 美元","设置 105 为防守价跌到自动补仓一档"
"AMD","2025-02-28","特朗普风暴~","更深防守价","90 美元","防守价下移至 90 作为更低一档大幅补仓位"
"AMD","2025-06-10","失而复得~","分批减仓","120 美元减 5%","第一档止盈触发后整体成本下降向负成本推进"
"AMD","2025-06-17","回不去的世界~","分批减仓","125 美元再减 5%","第二档止盈触发整体进入负成本区间"
"AMD","2025-07-14","听见未来的回响~","重要节点","160–165 美元","视作重要阻力区更高位观察和潜在减仓参考"
"Meta","2025-10-31","暴跌终于来了~","抄底加防守","650.5 / 627 / 596 美元","650.5 先买一档再用 627 596 作为防守价继续往下接"
"Meta","2025-02-28","特朗普风暴~","加仓计划","585 美元以下大幅买入","两个新账户计划在 585 以下大幅加仓作为重点布局区间"
"Meta","2025-11-04","一去不复返~","密集狙击区","550–585 美元区间","在 627 596 下方把 550–585 定为密集分批加仓狙击区"
"Meta","2025-08-01","世界已经永远改变了~","分批减仓","780 / 790 / 800 / 810 美元各减 5%","780–810 区间计划合计减仓约 20% 做低成本或零成本"
"谷歌 Google","2025-01-15","准备迎接风暴吧~","新账户捡筹","185 / 175 美元","两个新账户在 185 和 175 分档捡筹谷歌"
"谷歌 Google","2025-02-26","保姆级教程","买入节点","180 美元","新账户 180 买入被触发继续拉低整体成本"
"谷歌 Google","2025-02-28","特朗普风暴~","买入节点","170 美元","170 买入再次触发延续中长期建仓"
"谷歌 Google","2025-03-07","何日君再来~","深坑加仓目标","155 美元","认为需大盘再大跌才可能给出是极佳便宜区"
"谷歌 Google","2025-11-16","巨佬第二次抬轿~","减仓","260 美元减 5%","高位减掉一小部分整体仍以长期持有为主"
"微软 Microsoft","2025-01-29","想对你们说的一些话","支撑位买入","410 / 405 美元","视为强支撑区在 410 405 分档买入做 T 降成本"
"微软 Microsoft","2025-02-26","保姆级教程","加仓节点","390 美元","明确写 390 为加仓节点跌到自动加仓"
"微软 Microsoft","2025-05-07","往大风吹的方向去~","减仓","445 / 450 美元","一波上涨中在 445 450 适度减仓前期买太多需降仓"
"微软 Microsoft","2025-07-14","听见未来的回响~","减仓","503 美元减 5%","在 503 小幅减仓更多是顺势落袋并非长期目标价"
"苹果 Apple","2025-02-17","路边的狗听了都遗憾~","建仓节点","220 美元以下","明确认为 220 以下是很好的建仓区间"
"苹果 Apple","2025-03-11","抄底，刚刚开始~","理想加仓价","213 美元","希望有 220 以内加仓机会 213 能捞到就很知足"
"苹果 Apple","2025-05-01","一切并没有回到原点~","主要抄底区","168–178 美元","回顾这一轮抄底主要集中在 168–178 区间买入"
"苹果 Apple","2025-09-23","灰烬深处有余温~","分批减仓","255 / 260 美元各减 5%","两档都触发后这一轮买入成本可降至约 90 美元"
"苹果 Apple","2025-10-21","不必再等旧人归~","减仓","260 美元减 5%","260 减仓 5% 触发与 255 合计减出约 10%"
"特斯拉 Tesla","2025-02-03","真正的财神~","新账户建加仓","320 / 285 美元","两个新账户建仓和加仓节点保持在 320 与 285"
"特斯拉 Tesla","2025-01-23","一分钱都赚不到了~","加仓条件","320 / 285 以下","新账户除非跌破 320 或 285 否则不再加仓"
"特斯拉 Tesla","2025-03-07","何日君再来~","大幅加仓意愿","211 / 200 / 175 美元","211 以内新账户大量加仓 200 以内个人家庭考虑 175 更有吸引力"
"特斯拉 Tesla","2025-01-21","坚持自己的眼光~","计划减仓","490 美元以上","预计在 490 以上再减仓否则按兵不动"
"特斯拉 Tesla","2025-04-25","看不懂的世界~","波段区间","215 美元以内进 250 美元以上出","设定特斯拉 215 以下买入 250 以上卖出的波段策略"
"台积电 TSMC","2024-12-03","制服的诱惑~","买点","180–190 美元","认为 180 左右甚至 190 以下都是不错机会点"
"台积电 TSMC","2025-03-07","何日君再来~","便宜划算区","170 美元左右","写明 170 左右开始进入便宜和划算区间"
"台积电 TSMC","2025-09-04","意外的收获~","继续捞","200 美元以下","明确表示低于 200 还会继续捞看好长期前景"
"台积电 TSMC","2025-01-23","一分钱都赚不到了~","减仓","225 美元减 5%","盘中冲到 225.43 225 减仓 5% 被触发"
"台积电 TSMC","2025-01-17","我落袋为安了，舒服~","分批减仓计划","225 / 232 美元各减 5%","计划两档共减 10% 把成本压到约 50 美元"
"台积电 TSMC","2025-06-06","最后的体面~","T0 减仓","205 / 215 / 220 美元","利用反弹在 205 先减 5% 再在 215 220 继续减压低成本"
"Costco","2025-12-05","好时光一去不复返~","等待加仓","现价 895 美元希望再跌 3–5%","认为当前未到加仓击球点期待回调到约 860–870 再加仓"
"Costco","2024-12-05","等一个上场机会~","分批减仓","930 / 960 / 985 / 1005 / 1055 / 1100 美元","多档止盈 985 等触发后进入负成本 1100 再减少量锁盈"
"沃尔玛 Walmart","2025-03-03","有些话只能点到为止~","减仓计划","110 美元减仓","已负成本在 110 设置减仓节点当时尚未触发"
"宝洁 P&G","2025-10-09","涨瞎了双眼~","建仓吸引价","140 美元以下","认为跌到 140 以下才对自己有吸引力"
"宝洁 P&G","2025-03-03","有些话只能点到为止~","减仓","180 美元减 5%","180 减 5% 后宝洁进入负成本区间"
